t,status
1780280698.0449,4
1780280698.046,4
1780280698.047,4
1780280698.048,4
1780280698.049,4
1780280698.05,4
1780280698.0509,4
1780280698.0519,4
1780280698.0529,4
1780280698.0539,4
1780280698.055,4
1780280698.056,4
1780280698.057,4
1780280698.058,4
1780280698.0589,4
1780280698.0599,4
1780280698.0609,4
1780280698.0619,4
1780280698.063,4
1780280698.064,4
1780280698.065,4
1780280698.066,4
1780280698.0669,4
1780280698.0679,4
1780280698.0689,4
1780280698.0699,4
1780280698.071,4
1780280698.072,4
1780280698.073,4
1780280698.074,4
1780280698.075,4
1780280698.0759,4
1780280698.0769,4
1780280698.0779,4
1780280698.0789,4
1780280698.08,4
1780280698.081,4
1780280698.082,4
1780280698.083,4
1780280698.0839,4
1780280698.0849,4
1780280698.0859,4
1780280698.0869,4
1780280698.088,4
1780280698.089,4
1780280698.09,4
1780280698.091,4
1780280698.0919,4
1780280698.0929,4
1780280698.0939,4
1780280698.0949,4
1780280698.096,4
1780280698.097,4
1780280698.098,4
1780280698.099,4
1780280699.0,4
1780280699.0009,4
1780280699.0019,4
1780280699.0029,4
1780280699.0039,4
1780280699.005,4
1780280699.006,4
1780280699.007,4
1780280699.008,4
1780280699.0089,4
1780280699.0099,4
1780280699.0109,4
1780280699.0119,4
1780280699.013,4
1780280699.014,4
1780280699.015,4
1780280699.016,4
1780280699.0169,4
1780280699.0179,4
1780280699.0189,4
1780280699.0199,4
1780280699.021,4
1780280699.022,4
1780280699.023,4
1780280699.024,4
1780280699.025,4
1780280699.0259,4
1780280699.0269,4
1780280699.0279,4
1780280699.0289,4
1780280699.03,4
1780280699.031,4
1780280699.032,4
1780280699.033,4
1780280699.0339,4
1780280699.0349,4
1780280699.0359,4
1780280699.0369,4
1780280699.038,4
1780280699.039,4
1780280699.04,4
1780280699.041,4
1780280699.0419,4
1780280699.0429,4
1780280699.0439,4
1780280699.0449,4
1780280699.046,4
1780280699.047,4
1780280699.048,4
1780280699.049,4
1780280699.05,4
1780280699.0509,4
1780280699.0519,4
1780280699.0529,4
1780280699.0539,4
1780280699.055,4
1780280699.056,4
1780280699.057,4
1780280699.058,4
1780280699.0589,4
1780280699.0599,4
1780280699.0609,4
1780280699.0619,4
1780280699.063,4
1780280699.064,4
1780280699.065,4
1780280699.066,4
1780280699.0669,4
1780280699.0679,4
1780280699.0689,4
1780280699.0699,4
1780280699.071,4
1780280699.072,4
1780280699.073,4
1780280699.074,4
1780280699.075,4
1780280699.0759,4
1780280699.0769,4
1780280699.0779,4
1780280699.0789,4
1780280699.08,4
1780280699.081,4
1780280699.082,4
1780280699.083,4
1780280699.0839,4
1780280699.0849,4
1780280699.0859,4
1780280699.0869,4
1780280699.088,4
1780280699.089,4
1780280699.09,4
1780280699.091,4
1780280699.0919,4
1780280699.0929,4
1780280699.0939,4
1780280699.0949,4
1780280699.096,4
1780280699.097,4
1780280699.098,4
1780280699.099,4
1780280700.0,4
1780280700.0009,4
1780280700.0019,4
1780280700.0029,4
1780280700.0039,4
1780280700.005,4
1780280700.006,4
1780280700.007,4
1780280700.008,4
1780280700.0089,4
1780280700.0099,4
1780280700.0109,4
1780280700.0119,4
1780280700.013,4
1780280700.014,4
1780280700.015,4
1780280700.016,4
1780280700.0169,4
1780280700.0179,4
1780280700.0189,4
1780280700.0199,4
1780280700.021,4
1780280700.022,4
1780280700.023,4
1780280700.024,4
1780280700.025,4
1780280700.0259,4
1780280700.0269,4
1780280700.0279,4
1780280700.0289,4
1780280700.03,4
1780280700.031,4
1780280700.032,4
1780280700.033,4
1780280700.0339,4
